tid, sentiment, time
109465244223608864768, 1, {$date=2014-05-10T21:37:21.000Z}
109465373889652989952, 1, {$date=2014-05-11T06:12:36.000Z}
109465738631374598144, 1, {$date=2014-05-12T06:21:57.000Z}
109465932371372425217, 2, {$date=2014-05-12T19:11:48.000Z}
109466181540301398017, 1, {$date=2014-05-13T11:41:55.000Z}
109466423955231080448, 1, {$date=2014-05-14T03:45:11.000Z}
109466609670313230336, 1, {$date=2014-05-14T16:03:09.000Z}
109466630403197919232, 1, {$date=2014-05-14T17:25:32.000Z}
109466764769844674560, 1, {$date=2014-05-15T02:19:27.000Z}
109466850722525360128, 2, {$date=2014-05-15T08:01:00.000Z}
109466969818231365633, 2, {$date=2014-05-15T15:54:15.000Z}
109467141947128160256, 1, {$date=2014-05-16T03:18:13.000Z}
109467159338474172416, 2, {$date=2014-05-16T04:27:20.000Z}
109467172260428521472, 1, {$date=2014-05-16T05:18:41.000Z}
109467190766457327616, 2, {$date=2014-05-16T06:32:13.000Z}
109467219756034961408, 2, {$date=2014-05-16T08:27:25.000Z}
109467259255083769856, 1, {$date=2014-05-16T11:04:22.000Z}
109467268031979065344, 2, {$date=2014-05-16T11:39:14.000Z}
109467303290120581120, 2, {$date=2014-05-16T13:59:21.000Z}
109467345769733701632, 1, {$date=2014-05-16T16:48:09.000Z}
109467502903645585408, 1, {$date=2014-05-17T03:12:32.000Z}
109467606852822245376, 1, {$date=2014-05-17T10:05:36.000Z}
109467813979138838528, 2, {$date=2014-05-17T23:48:38.000Z}
109468079955939557376, 2, {$date=2014-05-18T17:25:32.000Z}
109468389668816302080, 2, {$date=2014-05-19T13:56:13.000Z}
109468439886601535488, 1, {$date=2014-05-19T17:15:46.000Z}
109468768844928933888, 2, {$date=2014-05-20T15:02:56.000Z}
109469144289767723008, 2, {$date=2014-05-21T15:54:49.000Z}
109469527253865361409, 1, {$date=2014-05-22T17:16:35.000Z}
109470030995182194688, 2, {$date=2014-05-24T02:38:16.000Z}
109470480081853632512, 2, {$date=2014-05-25T08:22:47.000Z}
109471038755805986816, 2, {$date=2014-05-26T21:22:45.000Z}
109471632076349792256, 1, {$date=2014-05-28T12:40:24.000Z}
109472009446042775552, 2, {$date=2014-05-29T13:39:56.000Z}
109472290000701108224, 1, {$date=2014-05-30T08:14:45.000Z}
109472653311011590144, 2, {$date=2014-05-31T08:18:25.000Z}
109472848491857735680, 1, {$date=2014-05-31T21:14:00.000Z}
109473214054530441220, 2, {$date=2014-06-01T21:26:37.000Z}
